date,spot_close,spot_volume,perp_volume,oi_usd,log_ret,RV_30,RV_90,perp_frac,FG_lite,FG_vol,FG_oi,FG_spotperp
2025-10-19,108642.78,15480.66423,113473.72,8808504898.445,,,,0.8799524008242331,,,,
2025-10-20,110532.09,19193.4416,139646.949,8772795826.3389,0.017240633452995615,,,0.8791652329265874,,,,
2025-10-21,108297.67,37228.01659,241127.426,9261885786.1491,-0.02042224657419341,,,0.8662572707628521,,,,
2025-10-22,107567.44,28610.78451,180893.983,8976485255.523094,-0.006765639759505252,,,0.8634361172299565,,,,
2025-10-23,110078.18,17573.09294,129640.717,8169079867.0676,0.02307284091421478,,,0.8806287742490793,,,,
2025-10-24,111004.89,15005.16913,110759.532,8426728856.241555,0.008383413777914583,,,0.8806885477786777,,,,
2025-10-25,111646.27,6407.96864,45269.483,8629763622.844,0.005761315360732372,,,0.8760006843092685,,,,
2025-10-26,114559.4,13454.47737,97335.387,8850132895.318249,0.025757896011683146,,,0.8785585897544964,,,,
2025-10-27,114107.65,21450.23241,118611.612,9359874067.055435,-0.003951164697453273,,,0.8468517068273781,,,,
2025-10-28,112898.45,15523.42257,131088.84,8899181732.1689,-0.010653558973310539,,,0.894119207371285,,,,
2025-10-29,110021.29,21079.71376,163920.866,8555778136.489191,-0.025814849578232026,,,0.8860559583794416,,,,
2025-10-30,108322.88,25988.82838,205753.644,8613995970.682442,-0.015557495821203146,,,0.8878547030542349,,,,
2025-10-31,109608.01,21518.20439,152063.776,8433782080.912,0.011794059086766558,,,0.8760343421497193,,,,
2025-11-01,110098.1,7378.50431,41614.221,8584792196.5712,0.004461330755654716,,,0.8493959202450245,,,,
2025-11-02,110540.68,12107.00087,61109.173,8438899744.283002,0.004011811464844439,,,0.8346403502114493,,,,
2025-11-03,106583.04,28681.18779,174258.047,8400309017.078973,-0.03645919836858115,,,0.858671055798156,,,,
2025-11-04,101497.22,50534.87376,281742.16,8248399242.4394,-0.048892990692747336,,,0.8479134317886634,,,,
2025-11-05,103885.16,33778.77571,167770.094,8216908706.2265,0.02325464931597804,,,0.8324040429569085,,,,
2025-11-06,101346.04,25814.62139,145029.821,8711448334.657743,-0.02474525864647728,,,0.8488998469667993,,,,
2025-11-07,103339.08,32059.50942,163967.458,8336692202.3616,0.0194748205542768,,,0.83645357655658,,,,
2025-11-08,102312.94,12390.77985,70691.949,8969884426.8117,-0.009979464496075391,,,0.8508621464230967,,,,
2025-11-09,104722.96,16338.97096,92367.67,8619042452.0858,0.02328223138207566,,,0.8496966623592666,,,,
2025-11-10,106011.13,22682.25673,120403.538,8949148311.6024,0.012225701545984949,,,0.8414779274714043,,,,
2025-11-11,103058.99,24196.50718,132603.774,9202894150.2238,-0.028242545864333283,,,0.8456858176662051,,,,
2025-11-12,101654.37,20457.63906,140876.276,8821820136.904993,-0.013723012931130311,,,0.8731969093268908,,,,
2025-11-13,99692.02,36198.50771,236046.799,8736888776.5278,-0.019492896160439244,,,0.8670371653144417,,,,
2025-11-14,94594.0,47288.14481,287072.783,9130386257.669498,-0.052491584544810524,,,0.8585715588249825,,,,
2025-11-15,95596.24,15110.89391,90220.319,8829245667.32,0.01053943964071668,,,0.8565392584730575,,,,
2025-11-16,94261.44,23889.4051,135749.509,9256685640.1646,-0.014061290467363924,,,0.8503534978630825,,,,
2025-11-17,92215.14,39218.59806,205161.285,9299540400.680899,-0.02194787294779212,,,0.8395178949718546,,,,
2025-11-18,92888.25,39454.8471,231441.155,9338177158.8544,0.007272832409597683,0.4116234019834337,,0.8543542658653328,,,,
